FixationDurationInS,BPOGX,BPOGY,Participant,AOIName,TIME(2018/10/26 16:24:10.124),FixationDuration
0.29712,0.54589,0.32681,123SD,model,50.2229,297.12
0.18115,0.91749,0.13838,123SD,task,51.55811,181.15
0.18164,0.75934,0.73197,123SD,model,52.34985,181.64
0.29712,0.37952,-0.0777,123SD,text,53.40479,297.12
0.16504,0.40214,-0.02162,123SD,model,53.83374,165.04
0.06616,0.91951,0.19422,123SD,task,56.7522,66.16
0.09839,0.79891,0.18015,123SD,model,57.41138,98.39
0.04883,0.41318,0.10416,123SD,model,59.85156,48.83
0.09863,0.4444,0.17362,123SD,model,60.0166,98.63
0.08252,0.97133,0.27814,123SD,task,62.43994,82.52
0.13159,0.83003,0.32902,123SD,task,63.92358,131.59
0.23071,0.94071,0.48567,123SD,task,65.1604,230.71
0.08203,0.97642,0.1962,123SD,task,65.30859,82.03
0.36255,0.36622,0.04526,123SD,text,66.43066,362.55
0.19751,0.36788,0.1089,123SD,text,66.64453,197.51
0.08276,0.9811,0.34347,123SD,task,104.60034,82.76
0.08252,0.37446,-0.0132,123SD,text,108.70532,82.52
0.26392,0.36027,0.00024,123SD,text,109.2334,263.92
0.2312,0.38313,0.06676,123SD,text,109.92554,231.2
0.198,0.33378,-0.06509,123SD,text,110.48633,198
0.16479,0.36876,0.00157,123SD,text,147.6665,164.79
0.52734,0.41233,0.04566,123SD,model,148.4082,527.34
0.13232,0.94797,0.31148,123SD,task,180.06543,132.32
0.2627,0.66148,0.36592,123SD,model,181.13623,262.7
0.09863,0.60446,0.23911,123SD,model,181.25244,98.63
0.21484,0.72305,0.39882,123SD,model,181.4834,214.84
0.29688,0.51564,0.17569,123SD,model,181.99414,296.88
0.13184,0.50062,0.23307,123SD,model,182.14258,131.84
0.13135,0.78196,0.24947,123SD,model,182.68652,131.35
0.14844,0.37853,-0.00456,123SD,text,184.17041,148.44
0.18164,0.75688,0.43358,123SD,model,184.51709,181.64
0.09863,0.41884,0.18369,123SD,model,185.81934,98.63
0.26416,0.70355,0.51554,123SD,model,187.38574,264.16
0.04932,0.37369,-0.06163,123SD,text,188.68848,49.32
0.06641,0.29076,-0.48909,123SD,text,190.05713,66.41
0.0498,0.9302,0.31932,123SD,task,192.89307,49.8
0.08252,0.71245,0.43951,123SD,model,193.14014,82.52
0.0498,0.41121,0.31623,123SD,model,193.30518,49.8
0.08252,0.39467,0.00469,123SD,text,195.92676,82.52
0.24756,0.7399,0.11555,123SD,model,196.93262,247.56
0.26367,0.3651,0.04106,123SD,text,197.31152,263.67
0.39453,0.71124,0.1067,123SD,model,197.77246,394.53
0.23096,0.73909,0.08619,123SD,model,198.51514,230.96
0.18213,0.70526,0.39164,123SD,model,198.91113,182.13
0.28076,0.36399,-0.00331,123SD,text,200.06543,280.76
0.19629,0.82443,0.17844,123SD,task,200.2793,196.29
0.16602,0.52171,0.22369,123SD,model,200.46191,166.02
0.26416,0.63734,0.39979,123SD,model,202.17529,264.16
0.28076,0.91671,0.34888,123SD,task,202.57129,280.76
0.13184,0.38347,-0.02835,123SD,text,203.31348,131.84
0.26416,0.69818,0.38064,123SD,model,203.89014,264.16
0.52734,0.38623,0.09658,123SD,text,204.82959,527.34
0.06641,0.64326,0.3008,123SD,model,204.9126,66.41
0.13086,0.87025,0.33074,123SD,task,205.75293,130.86
0.19775,0.65751,0.40229,123SD,model,206.36328,197.75
0.42871,0.64156,0.34463,123SD,model,206.80859,428.71
0.21533,0.68732,0.35185,123SD,model,207.56787,215.33
0.13184,0.62983,0.38965,123SD,model,207.91309,131.84
0.09912,0.90185,0.42716,123SD,task,208.37451,99.12
0.13232,0.68605,0.424,123SD,model,209.71045,132.32
0.11572,0.40419,0.03013,123SD,model,211.02979,115.72
0.08301,0.2642,0.70794,123SD,text,211.96973,83.01
0.19775,0.40837,0.022,123SD,model,213.41992,197.75
0.06592,0.38869,-0.01374,123SD,text,214.5415,65.92
0.08203,0.4077,0.024,123SD,model,215.03613,82.03
0.13232,0.40864,0.02749,123SD,model,220.03223,132.32
0.08252,0.38589,0.02818,123SD,text,223.49463,82.52
0.23096,0.979,0.30522,123SD,task,238.39941,230.96
0.06543,0.35435,-0.14554,123SD,text,239.02539,65.43
0.08203,0.64575,0.39164,123SD,model,239.32227,82.03
0.37988,0.54842,0.16522,123SD,model,240.01563,379.88
0.08252,0.38745,0.02616,123SD,text,241.05371,82.52
0.23047,0.38388,0.00635,123SD,text,241.30078,230.47
0.37842,0.67363,0.42687,123SD,model,241.99316,378.42
0.09912,0.39547,-0.00646,123SD,text,245.37402,99.12
0.08301,0.38458,0.06291,123SD,text,245.6709,83.01
0.14795,0.49978,0.4959,123SD,model,247.20361,147.95
0.21436,0.66329,0.30826,123SD,model,248.02832,214.36
0.06641,0.90942,0.11799,123SD,task,248.3252,66.41
0.06689,0.57851,-0.33334,123SD,model,250.65039,66.89
0.0498,0.30287,-0.66202,123SD,text,551.2583,49.8
0.06543,0.29887,-1.00399,123SD,text,551.48877,65.43
0.08301,0.90512,0.49717,123SD,task,605.15674,83.01
